"load_id","client_name","integration_id","load_code","delivery_date","locality_name","vehicle_name","dock","assembled_percentage","checked_percentage","loaded_percentage","load_status_name","load_weight","vehicle_weight_capacity","vehicle_weight_occupation","returnable_quantity_boxes","mix_quantity_boxes","quantity_boxes","returnable_assembler_quantity","mix_assembler_quantity","checker","checking_time","checker_under_count_error_quantity","checker_over_count_error_quantity","checker_total_error_quantity","checker_2","checking_time_2","checker_2_under_count_error_quantity","checker_2_over_count_error_quantity","checker_2_total_error_quantity","checker_3","checking_time_3","checker_3_under_count_error_quantity","checker_3_over_count_error_quantity","checker_3_total_error_quantity","loading_time","operation_time","created_at","updated_at","checking_time_total"
9000,,"5353219","5353219",2026-06-18,Sorocaba,"000528",,0.0,0.0,0.0,,2036.3700000000003,,,64,237,301,0,0,,,0,0,0,,,,,,,,,,,,,2026-08-31 15:14:08.715 -0300,2026-08-31 15:14:08.715 -0300,0.0
8488,,"5352033","5352033",2026-06-09,Sorocaba,"006935",,0.0,0.0,0.0,,6165.156666666666,,,244,530,773,0,0,,,0,0,0,,,,,,,,,,,,,2026-08-31 15:14:08.715 -0300,2026-08-31 15:14:08.715 -0300,0.0
11006,,"5358253","5358253",2026-07-22,Sorocaba,"000542",,0.0,0.0,0.0,,1731.4999999999998,,,57,224,281,0,0,,,0,0,0,,,,,,,,,,,,,2026-08-31 15:14:08.715 -0300,2026-08-31 15:14:08.715 -0300,0.0
9001,,"5353220","5353220",2026-06-18,Sorocaba,"000540",,0.0,0.0,0.0,,3405.395,,,180,249,428,0,0,,,0,0,0,,,,,,,,,,,,,2026-08-31 15:14:08.715 -0300,2026-08-31 15:14:08.715 -0300,0.0
9002,,"5353172","5353172",2026-06-18,Sorocaba,"004925",,0.0,0.0,0.0,,8280.130000000001,,,550,470,1020,0,0,,,0,0,0,,,,,,,,,,,,,2026-08-31 15:14:08.715 -0300,2026-08-31 15:14:08.715 -0300,0.0
9003,,"5353173","5353173",2026-06-18,Sorocaba,"005140",,0.0,0.0,0.0,,7439.924999999999,,,471,375,845,0,0,,,0,0,0,,,,,,,,,,,,,2026-08-31 15:14:08.715 -0300,2026-08-31 15:14:08.715 -0300,0.0
8579,,"5352234","5352234",2026-06-10,Sorocaba,"004925",,0.0,0.0,0.0,,8031.25,,,341,1021,1362,0,0,,,0,0,0,,,,,,,,,,,,,2026-08-31 15:14:08.715 -0300,2026-08-31 15:14:08.715 -0300,0.0
9005,,"5353218","5353218",2026-06-18,Sorocaba,"004108",,0.0,0.0,0.0,,12242.720000000001,,,976,,976,0,0,,,0,0,0,,,,,,,,,,,,,2026-08-31 15:14:08.715 -0300,2026-08-31 15:14:08.715 -0300,0.0
9004,,"5353174","5353174",2026-06-18,Sorocaba,"007157",,0.0,0.0,0.0,,6263.235000000001,,,388,412,799,0,0,,,0,0,0,,,,,,,,,,,,,2026-08-31 15:14:08.715 -0300,2026-08-31 15:14:08.715 -0300,0.0
9006,,"5353221","5353221",2026-06-18,Sorocaba,"000542",,0.0,0.0,0.0,,3808.6966666666667,,,201,317,516,0,0,,,0,0,0,,,,,,,,,,,,,2026-08-31 15:14:08.715 -0300,2026-08-31 15:14:08.715 -0300,0.0
